spend_id,campaign_id,channel,spend_date,spend_amount,impressions,clicks,conversions
MS001,CAM001,paid_search,2023-01-01,500.00,10000,300,12
MS002,CAM001,paid_search,2023-01-08,520.00,10500,310,14
MS003,CAM002,social,2023-01-01,300.00,25000,450,8
MS004,CAM002,social,2023-01-08,320.00,26000,480,9
MS005,CAM003,email,2023-01-15,100.00,15000,1200,35
MS006,CAM003,email,2023-02-01,110.00,16000,1250,38
MS007,CAM001,paid_search,2023-02-01,550.00,11000,330,15
MS008,CAM004,display,2023-02-01,200.00,50000,200,5
MS009,CAM002,social,2023-02-15,350.00,28000,520,11
MS010,CAM005,referral,2023-03-01,0.00,0,150,18
MS011,CAM003,email,2023-03-01,120.00,17000,1300,42
MS012,CAM001,paid_search,2023-03-01,600.00,12000,360,16
MS013,CAM004,display,2023-03-15,220.00,55000,220,6
MS014,CAM005,referral,2023-04-01,0.00,0,180,22
MS015,CAM002,social,2023-04-01,400.00,30000,600,14
MS016,CAM006,influencer,2023-04-15,800.00,80000,1600,25
MS017,CAM003,email,2023-04-15,130.00,18000,1400,45
MS018,CAM001,paid_search,2023-04-01,650.00,13000,390,18
MS019,CAM006,influencer,2023-05-01,900.00,90000,1800,30
MS020,CAM007,paid_search,2023-05-01,700.00,14000,420,20
MS021,CAM005,referral,2023-05-15,0.00,0,200,26
MS022,CAM002,social,2023-05-15,450.00,35000,700,16
MS023,CAM007,paid_search,2023-06-01,750.00,15000,450,22
MS024,CAM006,influencer,2023-06-01,950.00,95000,1900,32
MS025,CAM003,email,2023-06-15,140.00,19000,1500,48
MS026,CAM008,affiliate,2023-06-01,300.00,20000,800,28
MS027,CAM007,paid_search,2023-07-01,800.00,16000,480,24
MS028,CAM008,affiliate,2023-07-01,350.00,22000,900,32
MS029,CAM002,social,2023-07-15,500.00,40000,800,18
MS030,CAM003,email,2023-07-15,150.00,20000,1600,52
